ID,date,ch4,co2,temp_20220726
GO_1_A,24.7.2022,-0.13536,0.69883,8.7
GO_1_A,26.7.2022,-0.15514,0.72852,8.7
GO_1_E,24.7.2022,-0.0427,1.10806,13.8
GO_1_E,26.7.2022,-0.05814,0.78076,13.8
GO_2_A,24.7.2022,-0.10398,0.66757,9.9
GO_2_A,26.7.2022,-0.12993,0.67429,9.9
GO_2_E,24.7.2022,-0.13847,0.82374,15
GO_2_E,26.7.2022,-0.15446,0.91282,15
GO_3_A,24.7.2022,-0.12618,0.56369,9.9
GO_3_A,26.7.2022,-0.21398,1.00722,9.9
GO_3_E,24.7.2022,-0.091,0.53315,9.9
GO_3_E,26.7.2022,-0.10452,0.67599,9.9
GO_4_A,24.7.2022,-0.0963,0.74341,10
GO_4_A,26.7.2022,-0.0899,0.58251,10
GO_4_E,24.7.2022,-0.11577,0.80934,12.5
GO_4_E,26.7.2022,-0.18762,1.18021,12.5
GO_5_A,24.7.2022,-0.29385,0.72592,10.5
GO_5_A,26.7.2022,-0.31975,0.57881,10.5
GO_5_E,24.7.2022,-0.18408,1.78365,15.5
GO_5_E,26.7.2022,-0.17163,1.55609,15.5
